I0,PrvUpdataTime,SysTime,WriteTrjSysTime,WriteTrjCostTime,WriteInterval
19.0,112.0,4097.2,0.0,0.0,0.0
19.0,122.0,4107.1,0.0,0.0,0.0
19.0,132.0,4117.4,0.0,0.0,0.0
2.0,142.0,4127.6,4127.6,280.0,2.0
8.0,0.0,4418.7,0.0,0.0,0.0
8.0,11.0,4430.0,0.0,0.0,0.0
8.0,21.0,4440.6,0.0,0.0,0.0
9.0,30.0,4449.5,0.0,0.0,0.0
9.0,44.0,4462.9,0.0,0.0,0.0
9.0,52.0,4470.9,0.0,0.0,0.0
9.0,62.0,4480.9,0.0,0.0,0.0
9.0,70.0,4488.9,0.0,0.0,0.0
10.0,81.0,4500.6,0.0,0.0,0.0
10.0,91.0,4510.5,0.0,0.0,0.0
10.0,101.0,4520.6,0.0,0.0,0.0
10.0,112.0,4531.3,0.0,0.0,0.0
11.0,122.0,4540.7,4540.7,288.0,1.0
17.0,0.0,4842.7,0.0,0.0,0.0
17.0,3.0,4846.3,0.0,0.0,0.0
17.0,13.0,4856.4,0.0,0.0,0.0
18.0,22.0,4865.4,0.0,0.0,0.0
18.0,35.0,4878.1,0.0,0.0,0.0
18.0,42.0,4885.4,0.0,0.0,0.0
18.0,54.0,4897.1,0.0,0.0,0.0
19.0,63.0,4906.0,0.0,0.0,0.0
19.0,78.0,4921.1,0.0,0.0,0.0
19.0,83.0,4926.0,0.0,0.0,0.0
19.0,94.0,4937.0,0.0,0.0,0.0
19.0,103.0,4946.1,0.0,0.0,0.0
2.0,114.0,4957.0,4957.0,287.0,2.0
8.0,0.0,5256.8,0.0,0.0,0.0
8.0,11.0,5267.8,0.0,0.0,0.0
9.0,21.0,5276.8,0.0,0.0,0.0
9.0,36.0,5293.7,0.0,0.0,0.0
9.0,39.0,5296.8,0.0,0.0,0.0
9.0,51.0,5308.8,0.0,0.0,0.0
9.0,60.0,5317.0,0.0,0.0,0.0
10.0,72.0,5329.1,0.0,0.0,0.0
10.0,80.0,5337.0,0.0,0.0,0.0
10.0,94.0,5351.0,0.0,0.0,0.0
10.0,100.0,5357.0,0.0,0.0,0.0
10.0,112.0,5368.9,0.0,0.0,0.0
11.0,121.0,5378.0,5378.0,271.0,1.0
17.0,0.0,5661.7,0.0,0.0,0.0
17.0,10.0,5671.9,0.0,0.0,0.0
17.0,19.0,5680.9,0.0,0.0,0.0
18.0,33.0,5694.9,0.0,0.0,0.0
18.0,45.0,5707.0,0.0,0.0,0.0
18.0,55.0,5717.0,0.0,0.0,0.0
18.0,63.0,5725.0,0.0,0.0,0.0
18.0,74.0,5736.0,0.0,0.0,0.0
19.0,83.0,5745.3,0.0,0.0,0.0
19.0,94.0,5756.3,0.0,0.0,0.0
19.0,103.0,5765.3,0.0,0.0,0.0
19.0,114.0,5776.0,0.0,0.0,0.0
2.0,123.0,5785.0,5785.0,273.0,2.0
8.0,0.0,6074.1,0.0,0.0,0.0
8.0,9.0,6083.2,0.0,0.0,0.0
8.0,18.0,6092.3,0.0,0.0,0.0
8.0,28.0,6103.0,0.0,0.0,0.0
8.0,38.0,6112.9,0.0,0.0,0.0
9.0,48.0,6123.0,0.0,0.0,0.0
9.0,59.0,6133.6,0.0,0.0,0.0
9.0,69.0,6144.0,0.0,0.0,0.0
9.0,78.0,6152.5,0.0,0.0,0.0
10.0,90.0,6164.6,0.0,0.0,0.0
10.0,99.0,6173.3,0.0,0.0,0.0
10.0,109.0,6183.4,0.0,0.0,0.0
10.0,118.0,6193.1,0.0,0.0,0.0
10.0,130.0,6204.9,0.0,0.0,0.0
11.0,138.0,6213.0,6213.0,299.0,1.0
17.0,0.0,6525.0,0.0,0.0,0.0
18.0,8.0,6533.6,0.0,0.0,0.0
18.0,16.0,6541.6,0.0,0.0,0.0
18.0,28.0,6553.6,0.0,0.0,0.0
18.0,36.0,6561.3,0.0,0.0,0.0
19.0,48.0,6573.6,0.0,0.0,0.0
19.0,59.0,6585.0,0.0,0.0,0.0
19.0,69.0,6595.0,0.0,0.0,0.0
19.0,80.0,6606.0,0.0,0.0,0.0
19.0,89.0,6614.9,0.0,0.0,0.0
2.0,99.0,6624.9,6624.9,284.0,2.0
8.0,0.0,6921.0,0.0,0.0,0.0
8.0,8.0,6929.8,0.0,0.0,0.0
8.0,20.0,6941.8,0.0,0.0,0.0
9.0,28.0,6949.8,0.0,0.0,0.0
9.0,40.0,6961.4,0.0,0.0,0.0
9.0,49.0,6970.1,0.0,0.0,0.0
9.0,59.0,6981.0,0.0,0.0,0.0
10.0,69.0,6990.2,0.0,0.0,0.0
10.0,84.0,7005.7,0.0,0.0,0.0
10.0,88.0,7009.7,0.0,0.0,0.0
10.0,99.0,7020.7,0.0,0.0,0.0
10.0,108.0,7029.9,0.0,0.0,0.0
11.0,119.0,7041.0,7041.0,278.0,1.0
17.0,0.0,7329.3,0.0,0.0,0.0
17.0,11.0,7341.1,0.0,0.0,0.0
17.0,20.0,7349.9,0.0,0.0,0.0
17.0,31.0,7360.9,0.0,0.0,0.0
