X,Y,Z,Rx,Ry,Rz,time(s),time(ms)
485.364,-1.213,234.338,179.984,20.2111,1.6879,0,0
485.364,-1.213,234.338,179.984,20.2111,1.6879,0.05003127,50.03126954
485.364,-1.213,234.338,179.984,20.2111,1.6879,0.100062539,100.0625391
485.364,-1.213,234.338,179.984,20.2111,1.6879,0.150093809,150.0938086
485.364,-1.213,234.338,179.984,20.2111,1.6879,0.200125078,200.1250782
485.364,-1.213,234.338,179.984,20.2111,1.6879,0.250156348,250.1563477
485.364,-1.213,234.338,179.984,20.2111,1.6879,0.300187617,300.1876173
485.365,-1.213,234.338,179.984,20.2111,1.6879,0.350218887,350.2188868
485.365,-1.213,234.337,179.984,20.2111,1.6879,0.400250156,400.2501563
485.365,-1.213,234.337,179.984,20.211,1.6879,0.450281426,450.2814259
485.366,-1.213,234.337,179.9841,20.211,1.688,0.500312695,500.3126954
485.366,-1.213,234.337,179.9841,20.211,1.688,0.550343965,550.343965
485.367,-1.213,234.336,179.9841,20.211,1.688,0.600375235,600.3752345
485.367,-1.213,234.336,179.9841,20.2109,1.688,0.650406504,650.4065041
485.368,-1.213,234.335,179.9842,20.2109,1.6881,0.700437774,700.4377736
485.369,-1.213,234.335,179.9842,20.2108,1.6881,0.750469043,750.4690432
485.37,-1.213,234.334,179.9843,20.2108,1.6882,0.800500313,800.5003127
485.372,-1.213,234.333,179.9843,20.2107,1.6882,0.850531582,850.5315822
485.373,-1.213,234.332,179.9844,20.2106,1.6883,0.900562852,900.5628518
485.374,-1.213,234.331,179.9844,20.2105,1.6884,0.950594121,950.5941213
485.376,-1.213,234.33,179.9845,20.2105,1.6884,1.000625391,1000.625391
485.378,-1.214,234.329,179.9846,20.2104,1.6885,1.05065666,1050.65666
485.38,-1.214,234.327,179.9847,20.2102,1.6886,1.10068793,1100.68793
485.382,-1.214,234.326,179.9848,20.2101,1.6887,1.150719199,1150.719199
485.385,-1.214,234.324,179.9849,20.21,1.6888,1.200750469,1200.750469
