Time
"[[], 0]"
"[[], 22]"
"[[], 27]"
"[[], 33]"
"[[], 40]"
"[[], 47]"
"[[], 55]"
"[[], 64]"
"[[], 75]"
"[[], 86]"
"[[], 98]"
"[[], 110]"
"[[], 124]"
"[[], 138]"
"[[], 153]"
"[[], 169]"
"[[], 185]"
"[[], 202]"
"[[], 220]"
"[[], 239]"
"[[], 257]"
"[[], 277]"
"[[], 297]"
"[[], 319]"
"[[], 341]"
"[[], 365]"
"[[], 389]"
"[[], 414]"
"[[], 440]"
"[[], 468]"
"[[], 497]"
"[[], 527]"
"[[], 559]"
"[[], 593]"
"[[], 629]"
"[[], 667]"
"[[], 706]"
"[[], 747]"
"[[], 790]"
"[[], 834]"
"[[], 880]"
"[[], 928]"
"[[], 977]"
"[[], 1029]"
"[[], 1082]"
"[[], 1137]"
"[[], 1196]"
"[[], 1260]"
"[[], 1333]"
"[[], 1423]"
"[[], 1557]"
"[[], 1598]"
"[[], 1598]"
