Xx,Xy,Xz,0,Yx,Yy,Yz,0,Zx,Zy,Zz,0,Px,Py,Pz,1,time
0.9460467435704054,0.29897917097799775,0.12492803648957576,0.0,0.3217086152859475,-0.912722009695953,-0.2518771523329953,0.0,0.03871854633931714,0.27847798537387086,-0.9596618601525645,0.0,956.316,-109.275,-159.859,1.0,0.0
0.9460467435704054,0.29897917097799775,0.12492803648957576,0.0,0.3217086152859475,-0.912722009695953,-0.2518771523329953,0.0,0.03871854633931714,0.27847798537387086,-0.9596618601525645,0.0,956.3159999999673,-109.27499979536384,-159.85900000002457,1.0,0.04
0.9460467435704054,0.29897917097799775,0.12492803648957576,0.0,0.3217086152859475,-0.912722009695953,-0.2518771523329953,0.0,0.03871854633931714,0.27847798537387086,-0.9596618601525645,0.0,956.3159999997383,-109.27499836422145,-159.8590000001963,1.0,0.08
0.9460467435704054,0.29897917097799775,0.12492803648957576,0.0,0.3217086152859475,-0.912722009695953,-0.2518771523329953,0.0,0.03871854633931714,0.27847798537387086,-0.9596618601525645,0.0,956.3159999991174,-109.27499448367105,-159.85900000066198,1.0,0.12
0.9460467435704054,0.29897917097799775,0.12492803648957576,0.0,0.3217086152859475,-0.912722009695953,-0.2518771523329953,0.0,0.03871854633931714,0.27847798537387086,-0.9596618601525645,0.0,956.3159999979096,-109.27498693474304,-159.85900000156784,1.0,0.16
0.9460467435704054,0.29897917097799775,0.12492803648957576,0.0,0.3217086152859475,-0.912722009695953,-0.2518771523329953,0.0,0.03871854633931714,0.27847798537387086,-0.9596618601525645,0.0,956.3159999959204,-109.2749745024,-159.85900000305972,1.0,0.2
0.9460467435704054,0.29897917097799775,0.12492803648957576,0.0,0.3217086152859475,-0.912722009695953,-0.2518771523329953,0.0,0.03871854633931714,0.27847798537387086,-0.9596618601525645,0.0,956.3159999929561,-109.27495597553664,-159.85900000528295,1.0,0.24
0.9460467435704054,0.29897917097799775,0.12492803648957576,0.0,0.3217086152859475,-0.912722009695953,-0.2518771523329953,0.0,0.03871854633931714,0.27847798537387086,-0.9596618601525645,0.0,956.3159999888236,-109.27493014697984,-159.85900000838237,1.0,0.27999999999999997
0.9460467435704054,0.29897917097799775,0.12492803648957576,0.0,0.3217086152859475,-0.912722009695953,-0.2518771523329953,0.0,0.03871854633931714,0.27847798537387086,-0.9596618601525645,0.0,956.3159999833302,-109.27489581348864,-159.85900001250238,1.0,0.32
0.9460467435704054,0.29897917097799775,0.12492803648957576,0.0,0.3217086152859475,-0.912722009695953,-0.2518771523329953,0.0,0.03871854633931714,0.27847798537387086,-0.9596618601525645,0.0,956.3159999762842,-109.27485177575424,-159.8590000177869,1.0,0.36
