Xx,Xy,Xz,Yx,Yy,Yz,Zx,Zy,Zz,Px,Py,Pz,cmdCostTime
0.9593056228392548,0.2782810565194951,0.04787875908357495,0.2793211849936255,-0.9103583837926591,-0.30533144068728735,-0.04138112616575648,0.3062797196041736,-0.9510417108394577,8.943200000000001,-0.21632,0.044610000000000004,50.0
0.9583773147209766,0.281856774080588,0.045493752682039354,0.2819092447082934,-0.9090084565170903,-0.3069703629479835,-0.04516747033219507,0.3070185415985517,-0.9506311139124831,8.912980000000001,-0.18254,0.07989,52.0
0.9572877282620219,0.28599306689508713,0.04252259407514469,0.28482746916246915,-0.907468550697507,-0.30882704270427624,-0.04973447626586606,0.3077479409889015,-0.9501671888081864,8.876430000000001,-0.14342000000000002,0.12104,51.0
0.9562340714192477,0.2899209943165872,0.03952489989172143,0.2875377824482888,-0.9060440997485742,-0.31049333805335716,-0.0542072349570583,0.30826921086167075,-0.9497534781789605,8.84056,-0.10654,0.16002,52.0
0.9552762929334471,0.29343427835477165,0.036654173647014926,0.2898963321099045,-0.9047915180093838,-0.3119493958440999,-0.05837226043725829,0.30862377294156934,-0.9493914082119953,8.807,-0.07328,0.19549,50.0
0.9542326810210318,0.29719394041898145,0.03340287786483125,0.29235972615153794,-0.903481777303896,-0.31344292718833355,-0.06297444716717804,0.30886314098323886,-0.9490193776451333,8.76986,-0.03787,0.2335,51.0
0.9532664238533892,0.3006076494373728,0.030301258282585924,0.29454911416073687,-0.9023319615208713,-0.3147027971992337,-0.06726027431475158,0.3089208188478633,-0.9487064789393345,8.73513,-0.00599,0.26812,51.0
0.9523661142706343,0.303741008483074,0.02720632563832113,0.2964746136398322,-0.9012889061578141,-0.3158814826860909,-0.07142540063706619,0.30890080511797974,-0.9484085115293401,8.7014,0.02388,0.30067,53.0
0.9512941868345627,0.30739166998671824,0.0234463497701586,0.29867377854516164,-0.9001260507446256,-0.3171231098176848,-0.07637633209524956,0.30868018075940695,-0.9480945110599555,8.66094,0.05822,0.3387,52.0
0.9502669332267176,0.3108135742492943,0.01968953220031917,0.3006634336819676,-0.8990755878684917,-0.31822097188195364,-0.08120501993385663,0.30831478939762924,-0.947812078091558,8.62138,0.09051000000000001,0.37472,50.0
0.9493349445543113,0.31385223132284373,0.01612265306129065,0.30235848536817395,-0.8981734911721743,-0.31916097205242994,-0.08568844364280574,0.30786548466702207,-0.9475633667342852,8.58448,0.11955,0.40749,52.0
0.9484020933385091,0.316824820834779,0.012470054295956672,0.30397311553461503,-0.8973368138118587,-0.3199796674949224,-0.0901876620348563,0.3072599477331723,-0.9473423405167188,8.547229999999999,0.14782,0.43983,51.0
