Xx,Xy,Xz,Yx,Yy,Yz,Zx,Zy,Zz,Px,Py,Pz,cmdCostTime
0.9380189296175131,0.027641483275696058,-0.3454800082226675,0.02955158474431612,-0.9995632221949257,0.0002620580030911215,-0.3453218665510692,-0.010455297108016426,-0.9384260734037969,4.8536399999999995,-0.012130000000000002,2.34338,54.0
0.9380189296175131,0.027641483275696058,-0.3454800082226675,0.02955158474431612,-0.9995632221949257,0.0002620580030911215,-0.3453218665510692,-0.010455297108016426,-0.9384260734037969,4.8536399999999995,-0.012130000000000002,2.34338,64.0
0.9380189296175131,0.027641483275696058,-0.3454800082226675,0.02955158474431612,-0.9995632221949257,0.0002620580030911215,-0.3453218665510692,-0.010455297108016426,-0.9384260734037969,4.8536399999999995,-0.012130000000000002,2.34338,50.0
0.9380189296175131,0.027641483275696058,-0.3454800082226675,0.02955158474431612,-0.9995632221949257,0.0002620580030911215,-0.3453218665510692,-0.010455297108016426,-0.9384260734037969,4.8536399999999995,-0.012130000000000002,2.34338,52.0
0.9380189296175131,0.027641483275696058,-0.3454800082226675,0.02955158474431612,-0.9995632221949257,0.0002620580030911215,-0.3453218665510692,-0.010455297108016426,-0.9384260734037969,4.8536399999999995,-0.012130000000000002,2.34338,51.0
0.9380189296175131,0.027641483275696058,-0.3454800082226675,0.02955158474431612,-0.9995632221949257,0.0002620580030911215,-0.3453218665510692,-0.010455297108016426,-0.9384260734037969,4.8536399999999995,-0.012130000000000002,2.34338,49.0
0.9380189296175131,0.027641483275696058,-0.3454800082226675,0.02955158474431612,-0.9995632221949257,0.0002620580030911215,-0.3453218665510692,-0.010455297108016426,-0.9384260734037969,4.8536399999999995,-0.012130000000000002,2.34338,66.0
0.9380189296175131,0.027641483275696058,-0.3454800082226675,0.02955158474431612,-0.9995632221949257,0.0002620580030911215,-0.3453218665510692,-0.010455297108016426,-0.9384260734037969,4.8536399999999995,-0.012130000000000002,2.34338,49.0
0.9380189296175131,0.027641483275696058,-0.3454800082226675,0.02955158474431612,-0.9995632221949257,0.0002620580030911215,-0.3453218665510692,-0.010455297108016426,-0.9384260734037969,4.8536399999999995,-0.012130000000000002,2.34338,50.0
0.9380189296175131,0.027641483275696058,-0.3454800082226675,0.02955158474431612,-0.9995632221949257,0.0002620580030911215,-0.3453218665510692,-0.010455297108016426,-0.9384260734037969,4.8536399999999995,-0.012130000000000002,2.34338,53.0
0.9379456665427135,0.02762949369381134,-0.34567981961920835,0.02953876091753849,-0.9995636029438525,0.00025548651825631116,-0.34552190700041185,-0.010450586018408219,-0.938352490823502,4.85274,-0.01218,2.34323,51.0
0.9379456665427135,0.02762949369381134,-0.34567981961920835,0.02953876091753849,-0.9995636029438525,0.00025548651825631116,-0.34552190700041185,-0.010450586018408219,-0.938352490823502,4.85274,-0.01218,2.34323,51.0
0.9379456665427135,0.02762949369381134,-0.34567981961920835,0.02953876091753849,-0.9995636029438525,0.00025548651825631116,-0.34552190700041185,-0.010450586018408219,-0.938352490823502,4.85274,-0.01218,2.34323,52.0
0.9379456665427135,0.02762949369381134,-0.34567981961920835,0.02953876091753849,-0.9995636029438525,0.00025548651825631116,-0.34552190700041185,-0.010450586018408219,-0.938352490823502,4.85274,-0.01218,2.34323,56.0
0.9377196347195278,0.03230346962514169,-0.3458878033577548,0.03329470043841063,-0.9994408410274023,-0.003077045523780472,-0.3457937963356078,-0.008630824793521544,-0.9382708347162836,4.87413,-0.00379,2.33444,54.0
0.9372453993731902,0.04146843118288757,-0.34619565359637217,0.04061748933565188,-0.9991275271884136,-0.009716170770109486,-0.3462965216600614,-0.004955161914190298,-0.9381120218057898,4.91655,0.01254,2.31689,51.0
0.9367586395060817,0.050532987513605805,-0.34630863183533905,0.047836762009589535,-0.9987215919308806,-0.016334809808674054,-0.3466913548260939,-0.001264509390009568,-0.9379784141998417,4.95916,0.02843,2.29935,54.0
0.9362341716179161,0.05986261868495365,-0.34623986307052257,0.05523442906949253,-0.9982031787626904,-0.023228683850526247,-0.3470082617752517,0.002623126424772325,-0.9378584037409262,5.003620000000001,0.04455,2.2810300000000003,49.0
0.9357205840252113,0.06869039518487371,-0.34598933255356784,0.06219675090021854,-0.9976174175634197,-0.029850500021766927,-0.34721542708954284,0.006412314982845204,-0.9377634719947174,5.046480000000001,0.05957,2.2634600000000002,53.0
0.9351968041543454,0.07741304032647439,-0.3455635378434921,0.06905286237447543,-0.9969465865657091,-0.0364582738603023,-0.3473307353192209,0.010233509778795136,-0.9376868536884884,5.08947,0.0742,2.24588,49.0
0.9346595996169801,0.0860032432480521,-0.34498532576711555,0.07578250464328956,-0.9961954191366308,-0.04303137089591825,-0.34737363865701765,0.014075831840735523,-0.9376211527712965,5.1325,0.08824,2.2282800000000003,51.0
0.9341209933075603,0.09451889293061012,-0.3442152651194727,0.08244223694027421,-0.9953613261452482,-0.049589393852483725,-0.3473056973767933,0.017944617397563044,-0.9375802596450474,5.175739999999999,0.10196,2.21067,52.0
0.93357716019413,0.10287821741389185,-0.34329252590990655,0.08894633660500803,-0.9944535505197444,-0.05613096349807914,-0.3471631247244045,0.021867972937931097,-0.937549762194612,5.21913,0.11521,2.19299,54.0
0.9330216806762544,0.11144933972418168,-0.3421251058649479,0.09560988282586615,-0.9934311606564127,-0.06287510908838916,-0.3468851304021001,0.025953298670816947,-0.9375484694638574,5.26437,0.12839,2.17471,50.0
