Xx,Xy,Xz,0,Yx,Yy,Yz,0,Zx,Zy,Zz,0,Px,Py,Pz,1,time
0.8719955222473857,0.3467958666117209,-0.3454800082226675,0.0,0.3695505303171277,-0.9292106357238544,-1.1492405318404507e-16,0.0,-0.3210236980704674,-0.12767232025265232,-0.9384261099939971,0.0,4.85,0.0,2.34,1.0,0.0
0.8727911283506338,0.3470544352269626,-0.343203825367291,0.0,0.3690889064349222,-0.9293933153951084,-0.0012020526539448758,0.0,-0.3193885187418632,-0.125623583666457,-0.9392601821687617,0.0,4.870749999999999,-0.019999999999999997,2.3183,1.0,0.04
0.8735827433140586,0.34730802637158614,-0.3409256918183591,0.0,0.3686293678655968,-0.9295733460048691,-0.0024053033904827058,0.0,-0.3177508169477589,-0.12357399060991087,-0.9400871710186454,0.0,4.8915,-0.039999999999999994,2.2965999999999998,1.0,0.08
0.8743703611458898,0.3475566381261482,-0.33864562481917104,0.0,0.36817191808742034,-0.9297507261904764,-0.003609743102152467,0.0,-0.316110605083996,-0.12152355659647972,-0.9409070702841308,0.0,4.912249999999999,-0.059999999999999984,2.2748999999999997,1.0,0.12
0.8751539758846109,0.3478002686088948,-0.3363636416276609,0.0,0.3677165605628518,-0.9299254546093315,-0.004815362672493575,0.0,-0.3144678955654149,-0.1194722971459946,-0.9417198737593622,0.0,4.933,-0.07999999999999999,2.2531999999999996,1.0,0.16
0.8759335815990053,0.3480389159757754,-0.3340797595162662,0.0,0.36726329873851343,-0.9300975299389068,-0.006022152976115076,0.0,-0.31282270082576086,-0.11742022778453433,-0.9425255752921918,0.0,4.953749999999999,-0.09999999999999999,2.2315,1.0,0.2
0.8767091723882008,0.348272578420457,-0.33179399577179763,0.0,0.36681213604516527,-0.9302669508767559,-0.007230104878764637,0.0,-0.3111750333175899,-0.11536736404430797,-0.9433241687842272,0.0,4.9745,-0.11999999999999997,2.2098,1.0,0.24
0.8774807423817146,0.34850125417433747,-0.32950636769530783,0.0,0.3663630758976789,-0.930433716140524,-0.008439209237397794,0.0,-0.30952490551217443,-0.11331372146353726,-0.9441156481908765,0.0,4.9952499999999995,-0.14,2.1881,1.0,0.28
0.878248285739497,0.34872494150655947,-0.32721689260196096,0.0,0.3659161216950114,-0.9305978244679568,-0.00964945690024701,0.0,-0.3078723298994092,-0.11125931558633907,-0.9449000075213955,0.0,5.016,-0.15999999999999998,2.1664,1.0,0.32
0.8790117966519767,0.34894363872402306,-0.32492558782090125,0.0,0.3654712768201804,-0.930759274616911,-0.010860838706891076,0.0,-0.3062173189877163,-0.10920416196260765,-0.9456772408389313,0.0,5.03675,-0.17999999999999997,2.1447,1.0,0.36
0.8797712693401036,0.3491573441713986,-0.32263247069512163,0.0,0.3650285446402373,-0.9309180653653625,-0.01207334548832441,0.0,-0.30455988530395084,-0.107148276147897,-0.9464473422605688,0.0,5.0575,-0.19999999999999998,2.1229999999999998,1.0,0.4
0.8805266980553935,0.34936605623113975,-0.32033755858133317,0.0,0.36458792850624283,-0.9310741955114169,-0.013286968067026377,0.0,-0.302900041393306,-0.10509167370330312,-0.9472103059573743,0.0,5.07825,-0.22,2.1012999999999997,1.0,0.44
0.8812780770799711,0.34956977332349515,-0.318040868849833,0.0,0.36414943175324116,-0.9312276638733178,-0.014501697257030906,0.0,-0.30123779981921794,-0.10303437019534614,-0.9479661261544395,0.0,5.098999999999999,-0.23999999999999994,2.0796,1.0,0.48
0.8820254007266134,0.34976849390652054,-0.3157424188843733,0.0,0.36371305770023454,-0.931378469289456,-0.015717523863995844,0.0,-0.29957317316327114,-0.1009763811958527,-0.9487147971309264,0.0,5.11975,-0.25999999999999995,2.0579,1.0,0.52
0.8827686633387927,0.34996221647609044,-0.3134422260820294,0.0,0.3632788096501589,-0.931526610618378,-0.016934438685272717,0.0,-0.29790617402510244,-0.0989177222818378,-0.949456313220109,0.0,5.140499999999999,-0.28,2.0362,1.0,0.56
0.8835078592907194,0.35015093956590976,-0.31114030785306834,0.0,0.36284669088985777,-0.9316720867387955,-0.01815243250997625,0.0,-0.2962368150223066,-0.09685840903538723,-0.9501906688094175,0.0,5.16125,-0.2999999999999999,2.0145,1.0,0.6
0.8842429829873848,0.3503346617475247,-0.30883668162081696,0.0,0.36241670469005854,-0.9318148965495929,-0.019371496119054157,0.0,-0.2945651087903399,-0.09479845704353931,-0.95091785834048,0.0,5.1819999999999995,-0.31999999999999995,1.9928,1.0,0.64
0.8849740288646034,0.3505133816303332,-0.30653136482153,0.0,0.3619888543053467,-0.9319550389698358,-0.02059162028535693,0.0,-0.29289106798242515,-0.09273788189816713,-0.9516378763091649,0.0,5.20275,-0.33999999999999997,1.9710999999999999,1.0,0.68
0.8857009913890543,0.3506870978615963,-0.30422437490425835,0.0,0.36156314297414194,-0.9320925129387799,-0.02181279577370761,0.0,-0.29121470526945564,-0.09067669919586042,-0.9523507172656224,0.0,5.2235,-0.35999999999999993,1.9493999999999998,1.0,0.72
0.8864238650583246,0.3508558091264476,-0.30191572933071664,0.0,0.3611395739186732,-0.932227317415878,-0.023035013340971775,0.0,-0.2895360333398991,-0.08861492453780755,-0.9530563758143259,0.0,5.24425,-0.3799999999999999,1.9277,1.0,0.76
0.8871426444009494,0.3510195141479037,-0.2996054455751513,0.0,0.3607181503449546,-0.932359451380789,-0.024258263736127435,0.0,-0.28785506489970203,-0.08655257352967742,-0.9537548466141129,0.0,5.265,-0.39999999999999997,1.906,1.0,0.8
