Xx,Xy,Xz,Yx,Yy,Yz,Zx,Zy,Zz,Px,Py,Pz
0,0,0.002,0,0,0,0.001,0.001,0,1.304,-0.441,-0.804
0,0,0.002,0,0,0,0.001,0.001,0,1.315,-0.419,-0.778
0,0,0.002,0,0,0,0.001,0.001,0,1.314,-0.4,-0.79
0,0,0.002,0,0,0,0.002,0.001,0,1.706,-0.494,-0.991
0,0,0.002,0,0,0,0.001,0.001,0,1.327,-0.347,-0.769
0,0,0.002,0,0,0,0.001,0.001,0,1.332,-0.323,-0.76
0,0,0.002,0,0,-0.001,0.001,0.001,0,1.34,-0.3,-0.735
0,0,0.002,0,0,-0.001,0.001,0.001,0,1.338,-0.282,-0.748
0,0,0.002,0,0,-0.001,0.001,0.001,0,1.343,-0.269,-0.74
0,0,0.002,0,0,-0.001,0.001,0.001,0,1.346,-0.232,-0.721
0,0,0.002,0.001,0,-0.001,0.001,0.001,0,1.351,-0.209,-0.722
0,0,0.002,0.001,0,-0.001,0.001,0.001,0,1.355,-0.194,-0.702
0,0,0.002,0.001,0.001,-0.001,0.002,0.001,0,1.752,-0.226,-0.902
0,0,0.002,0.001,0,-0.001,0.001,0.001,0,1.359,-0.141,-0.702
0,0,0.002,0.001,0,-0.001,0.001,0.001,0,1.357,-0.122,-0.69
0,0,0.002,0.001,0,-0.001,0.001,0.001,0,1.362,-0.094,-0.689
0,0.001,0.002,0.001,0.001,-0.001,0.001,0.001,0,1.367,-0.073,-0.667
0,0.001,0.002,0.001,0.001,-0.001,0.001,0.001,0,1.363,-0.057,-0.681
0,0.001,0.002,0.001,0.001,-0.001,0.001,0.001,0,1.563,-0.043,-0.762
0,0.001,0.002,0.001,0.001,-0.001,0.001,0.001,0,1.364,-0.012,-0.671
0,0.001,0.002,0.001,0.001,-0.001,0.001,0.001,0,1.37,0.015,-0.648
0,0.001,0.002,0.001,0.001,-0.001,0.001,0.001,0,1.367,0.035,-0.659
0,0.001,0.002,0.001,0.001,-0.001,0.001,0.002,0,1.759,0.062,-0.833
0,0.001,0.002,0.001,0.001,-0.001,0.001,0.001,0,1.373,0.077,-0.65
0,0.001,0.002,0.001,0.001,-0.001,0.001,0.001,0,1.366,0.1,-0.647
0,0.001,0.002,0.001,0.001,-0.001,0.001,0.001,0,1.368,0.113,-0.637
