Xx,Xy,Xz,Yx,Yy,Yz,Zx,Zy,Zz,Px,Py,Pz
-0.0,-0.001,-0.002,-0.001,-0.001,0.001,-0.001,-0.001,0.0,-1.68,0.265,0.718
-0.0,-0.001,-0.002,-0.001,-0.001,0.001,-0.001,-0.001,0.0,-1.489,0.263,0.636
-0.0,-0.001,-0.001,-0.001,-0.0,0.001,-0.001,-0.001,0.0,-1.311,0.25,0.552
-0.0,-0.001,-0.002,-0.001,-0.001,0.001,-0.001,-0.001,0.0,-1.489,0.307,0.655
-0.0,-0.001,-0.001,-0.001,-0.0,0.001,-0.001,-0.001,0.0,-1.304,0.288,0.57
-0.0,-0.001,-0.001,-0.001,-0.0,0.001,-0.001,-0.001,0.0,-1.301,0.305,0.568
-0.0,-0.001,-0.001,-0.001,-0.0,0.001,-0.001,-0.001,0.0,-1.302,0.325,0.58
-0.0,-0.001,-0.002,-0.001,-0.0,0.001,-0.001,-0.001,0.0,-1.489,0.395,0.67
-0.0,-0.0,-0.001,-0.001,-0.0,0.001,-0.001,-0.001,0.0,-1.293,0.362,0.6
-0.0,-0.0,-0.001,-0.001,-0.0,0.001,-0.001,-0.001,0.0,-1.304,0.386,0.597
-0.0,-0.0,-0.001,-0.001,-0.0,0.001,-0.001,-0.001,0.0,-1.301,0.403,0.602
-0.0,-0.0,-0.002,-0.001,-0.0,0.001,-0.001,-0.001,0.0,-1.48,0.483,0.696
-0.0,-0.0,-0.001,-0.0,-0.0,0.001,-0.001,-0.001,0.0,-1.29,0.434,0.605
-0.0,-0.0,-0.001,-0.0,-0.0,0.001,-0.001,-0.001,0.0,-1.29,0.456,0.627
-0.0,-0.0,-0.001,-0.0,-0.0,0.001,-0.001,-0.001,0.0,-1.284,0.482,0.637
-0.0,-0.0,-0.001,-0.0,-0.0,0.001,-0.001,-0.001,0.0,-1.272,0.499,0.637
-0.0,-0.0,-0.001,-0.0,-0.0,0.001,-0.001,-0.001,0.0,-1.282,0.523,0.641
-0.0,-0.0,-0.001,-0.0,-0.0,0.001,-0.001,-0.001,0.0,-1.278,0.545,0.648
-0.0,-0.0,-0.001,-0.0,-0.0,0.001,-0.001,-0.001,0.0,-1.274,0.563,0.656
-0.0,-0.0,-0.001,-0.0,-0.0,0.0,-0.001,-0.001,0.0,-1.263,0.579,0.663
-0.0,-0.0,-0.001,-0.0,-0.0,0.0,-0.001,-0.001,0.0,-1.26,0.595,0.66
-0.0,0.0,-0.001,-0.0,-0.0,0.0,-0.001,-0.001,0.0,-1.257,0.617,0.684
-0.0,0.0,-0.001,-0.0,-0.0,0.0,-0.001,-0.001,0.0,-1.241,0.636,0.686
-0.0,0.0,-0.002,-0.0,-0.0,0.0,-0.002,-0.001,0.0,-1.589,0.85,0.903
-0.0,0.0,-0.001,-0.0,-0.0,0.0,-0.001,-0.001,0.0,-1.242,0.682,0.702
-0.0,0.0,-0.001,-0.0,-0.0,0.0,-0.001,-0.001,0.0,-1.235,0.702,0.701
-0.0,0.0,-0.002,-0.0,-0.0,0.0,-0.001,-0.001,0.0,-1.401,0.823,0.82
-0.0,0.0,-0.001,-0.0,-0.0,0.0,-0.001,-0.001,0.0,-1.216,0.739,0.727
-0.0,0.0,-0.002,-0.0,-0.0,0.0,-0.002,-0.001,0.0,-1.553,0.979,0.946
-0.0,0.0,-0.002,0.0,-0.0,0.0,-0.001,-0.001,0.0,-1.369,0.891,0.86
