Xx,Xy,Xz,Yx,Yy,Yz,Zx,Zy,Zz,Px,Py,Pz
0.0,-0.001,0.001,-0.001,-0.0,0.0,0.002,0.0,-0.0,1.254,-1.006,-1.157
0.0,-0.001,0.001,-0.0,-0.0,0.0,0.001,0.0,-0.0,1.113,-0.856,-1.009
0.0,-0.001,0.001,-0.0,-0.0,0.0,0.001,0.0,-0.0,1.138,-0.832,-0.984
0.0,-0.001,0.001,-0.0,-0.0,0.0,0.002,0.0,-0.0,1.311,-0.921,-1.113
0.0,-0.001,0.001,-0.0,-0.0,0.0,0.001,0.0,-0.0,1.156,-0.787,-0.97
0.0,-0.001,0.001,-0.0,-0.0,0.0,0.002,0.0,-0.0,1.341,-0.87,-1.093
0.0,-0.001,0.001,-0.0,-0.0,0.0,0.001,0.0,-0.0,1.182,-0.743,-0.945
0.0,-0.001,0.001,-0.0,-0.0,0.0,0.001,0.0,-0.0,1.196,-0.717,-0.931
0.0,-0.001,0.002,-0.0,-0.0,0.0,0.002,0.0,-0.0,1.392,-0.8,-1.03
0.0,-0.001,0.001,-0.0,-0.0,0.0,0.001,0.0,-0.0,1.219,-0.669,-0.906
0.0,-0.001,0.001,-0.0,-0.0,0.0,0.001,0.0,-0.0,1.225,-0.651,-0.891
0.0,-0.001,0.001,-0.0,-0.0,-0.0,0.001,0.001,-0.0,1.24,-0.623,-0.875
0.0,-0.0,0.001,-0.0,0.0,-0.0,0.001,0.001,-0.0,1.249,-0.6,-0.874
0.0,-0.0,0.001,-0.0,0.0,-0.0,0.001,0.001,-0.0,1.262,-0.592,-0.848
0.0,-0.0,0.001,-0.0,0.0,-0.0,0.001,0.001,-0.0,1.266,-0.554,-0.853
0.0,-0.0,0.002,0.0,0.0,-0.0,0.002,0.001,-0.0,1.639,-0.687,-1.075
0.0,-0.001,0.003,0.0,0.0,-0.0,0.003,0.001,-0.0,2.582,-1.038,-1.643
0.0,-0.0,0.002,0.0,0.0,-0.0,0.002,0.001,-0.0,1.481,-0.552,-0.929
0.0,-0.0,0.002,0.0,0.0,-0.0,0.001,0.001,0.0,1.3,-0.452,-0.809
0.0,-0.0,0.002,0.0,0.0,-0.0,0.002,0.001,-0.0,1.682,-0.563,-1.019
