-1.12,0.83,-0.21,0.58,0.99,0.83,0.0,-0.0,0.0,-3.25,0.21,2.83
-1.13,0.83,-0.21,0.58,0.99,0.83,0.0,-0.0,0.0,-3.24,0.21,2.83
-1.13,0.82,-0.2,0.58,0.99,0.82,0.0,-0.0,0.0,-3.23,0.2,2.84
-1.14,0.82,-0.2,0.58,1.0,0.82,0.0,-0.0,0.0,-3.21,0.19,2.84
-1.14,0.82,-0.19,0.57,1.0,0.82,0.0,-0.0,0.0,-3.11,0.07,2.69
-1.14,0.81,-0.19,0.57,1.0,0.82,0.0,-0.0,0.0,-3.2,0.18,2.86
-1.15,0.81,-0.18,0.57,1.0,0.82,0.0,-0.0,0.0,-3.19,0.18,2.87
-1.15,0.8,-0.18,0.57,1.0,0.81,0.0,-0.0,0.0,-3.18,0.17,2.86
-1.15,0.8,-0.18,0.57,1.01,0.81,0.0,-0.0,0.0,-3.17,0.17,2.88
-1.15,0.8,-0.17,0.58,1.01,0.81,0.0,-0.0,0.0,-3.06,0.05,2.71
-1.16,0.79,-0.17,0.58,1.01,0.81,0.0,-0.0,0.0,-3.15,0.16,2.88
-1.16,0.79,-0.16,0.58,1.01,0.8,0.0,-0.0,0.0,-3.15,0.15,2.88
-1.16,0.79,-0.16,0.58,1.01,0.8,0.0,0.0,0.0,-3.14,0.15,2.9
-1.17,0.78,-0.16,0.58,1.02,0.8,0.0,0.0,0.0,-3.01,0.03,2.75
-1.17,0.78,-0.15,0.58,1.02,0.79,0.0,0.0,0.0,-3.12,0.14,2.92
-1.17,0.78,-0.15,0.58,1.02,0.79,0.0,0.0,0.0,-2.88,-0.08,2.61
-1.17,0.78,-0.14,0.58,1.02,0.78,0.0,0.0,0.0,-3.1,0.13,2.92
-1.18,0.77,-0.14,0.58,1.03,0.78,0.0,0.0,0.0,-3.1,0.13,2.94
-1.18,0.77,-0.14,0.58,1.03,0.77,0.0,0.0,0.0,-2.86,-0.08,2.63
-1.18,0.77,-0.13,0.59,1.03,0.77,0.0,0.0,0.0,-3.08,0.12,2.94
-1.18,0.77,-0.13,0.59,1.03,0.77,0.0,0.0,0.0,-3.07,0.11,2.95
-1.18,0.76,-0.13,0.59,1.04,0.76,0.0,0.0,0.0,-3.06,0.11,2.95
-1.19,0.76,-0.12,0.59,1.04,0.76,0.0,0.0,0.0,-3.06,0.11,2.96
-1.19,0.76,-0.12,0.59,1.04,0.75,0.0,0.0,0.0,-3.05,0.1,2.97
-1.19,0.76,-0.12,0.59,1.04,0.75,0.0,0.0,0.0,-3.04,0.1,2.97
-1.19,0.76,-0.11,0.6,1.05,0.74,0.0,0.0,0.0,-3.03,0.09,2.98
-1.19,0.76,-0.11,0.6,1.05,0.74,0.0,0.0,0.0,-3.03,0.09,2.98
-1.19,0.75,-0.11,0.6,1.05,0.73,0.0,0.0,0.0,-2.63,-0.2,2.57
-1.19,0.75,-0.1,0.6,1.06,0.72,0.0,0.0,0.0,-3.01,0.09,3.0
-1.19,0.75,-0.1,0.61,1.06,0.72,0.0,0.0,0.0,-3.01,0.08,3.01
-1.19,0.75,-0.1,0.61,1.06,0.71,0.0,0.0,0.0,-3.0,0.08,3.01
-1.2,0.75,-0.09,0.61,1.06,0.7,0.0,0.0,0.0,-2.99,0.07,3.02
-1.2,0.75,-0.09,0.61,1.07,0.7,0.0,0.0,0.0,-2.85,-0.02,2.9
-1.2,0.75,-0.09,0.62,1.07,0.69,0.0,0.0,0.0,-2.98,0.07,3.03
-1.2,0.75,-0.09,0.62,1.07,0.68,0.0,0.0,0.0,-2.97,0.07,3.04
-1.2,0.75,-0.08,0.62,1.07,0.68,0.0,0.0,0.0,-2.96,0.07,3.04
-1.2,0.75,-0.08,0.63,1.08,0.67,0.0,0.0,0.0,-2.82,-0.02,2.92
-1.2,0.75,-0.08,0.63,1.08,0.66,0.0,0.0,0.0,-2.95,0.06,3.05
-1.2,0.75,-0.08,0.63,1.08,0.66,0.0,0.0,0.0,-2.96,0.05,3.06
-1.2,0.75,-0.07,0.64,1.08,0.65,0.0,0.0,0.0,-2.8,-0.03,2.93
-1.2,0.75,-0.07,0.64,1.09,0.64,0.0,0.0,0.0,-2.94,0.05,3.06
-1.2,0.75,-0.07,0.64,1.09,0.63,0.0,0.0,0.0,-2.93,0.04,3.08
-1.2,0.75,-0.07,0.65,1.09,0.63,0.0,0.0,0.0,-2.93,0.05,3.08
-1.2,0.75,-0.07,0.65,1.09,0.62,0.0,0.0,0.0,-2.92,0.05,3.1
-1.19,0.75,-0.07,0.66,1.09,0.61,0.0,0.0,0.0,-2.92,0.04,3.1
-1.19,0.76,-0.06,0.66,1.1,0.6,0.0,0.0,0.0,-2.6,-0.11,2.85
-1.19,0.76,-0.06,0.67,1.1,0.59,0.0,0.0,0.0,-2.6,-0.11,2.86
-1.19,0.76,-0.06,0.67,1.1,0.58,0.0,0.0,0.0,-2.9,0.03,3.12
-1.19,0.76,-0.06,0.68,1.1,0.58,0.0,0.0,0.0,-2.89,0.03,3.13
-1.19,0.76,-0.06,0.68,1.1,0.57,0.0,0.0,0.0,-2.88,0.02,3.13
-1.19,0.77,-0.06,0.69,1.1,0.56,0.0,0.0,0.0,-2.72,-0.05,3.01
-1.19,0.77,-0.06,0.69,1.11,0.55,0.0,0.0,0.0,-2.87,0.02,3.14
-1.18,0.77,-0.06,0.7,1.11,0.54,0.0,0.0,0.0,-2.87,0.01,3.15
-1.18,0.77,-0.06,0.7,1.11,0.53,0.0,0.0,0.0,-2.86,0.01,3.15
-1.18,0.78,-0.06,0.71,1.11,0.52,0.0,0.0,0.0,-2.86,0.01,3.16
-1.18,0.78,-0.06,0.71,1.11,0.51,0.0,0.0,0.0,-2.69,-0.05,3.05
-1.18,0.78,-0.06,0.72,1.11,0.5,0.0,0.0,0.0,-2.85,0.01,3.18
-1.17,0.79,-0.06,0.72,1.11,0.5,0.0,0.0,0.0,-2.84,0.01,3.18
-1.17,0.79,-0.06,0.73,1.11,0.49,0.0,0.0,0.0,-2.68,-0.06,3.07
-1.17,0.8,-0.06,0.73,1.11,0.48,0.0,0.0,0.0,-2.67,-0.06,3.07
-1.17,0.8,-0.06,0.74,1.11,0.47,0.0,0.0,0.0,-2.83,-0.0,3.2
