intervalNO.,status,SystemTime
2.0,0.0,0.0
11.0,0.0,0.0
2.0,0.0,339.6
11.0,0.0,685.1
2.0,0.0,1078.4
11.0,0.0,1428.4
2.0,0.0,1788.9
11.0,0.0,2139.3
2.0,0.0,2487.3
11.0,0.0,2867.8
2.0,0.0,3208.4
11.0,0.0,3599.2
2.0,0.0,3940.0
11.0,0.0,4287.3
2.0,0.0,4678.5
11.0,0.0,5019.1
2.0,0.0,5360.3
11.0,0.0,5757.2
2.0,0.0,6108.0
11.0,0.0,6459.9
2.0,0.0,6824.7
11.0,0.0,7178.5
2.0,0.0,7534.5
11.0,0.0,7886.5
2.0,0.0,8267.4
11.0,0.0,8620.5
2.0,0.0,8967.2
11.0,0.0,9360.0
2.0,0.0,9720.0
11.0,0.0,10076.5
2.0,0.0,10428.2
11.0,0.0,10769.1
2.0,0.0,11161.3
11.0,0.0,11511.3
2.0,0.0,11883.6
11.0,0.0,12227.2
2.0,0.0,12580.2
11.0,0.0,12963.2
2.0,0.0,13313.0
11.0,0.0,13663.4
2.0,0.0,14018.9
11.0,0.0,14383.9
2.0,0.0,14735.9
11.0,0.0,15116.2
2.0,0.0,15469.3
11.0,0.0,15819.8
2.0,0.0,16167.1
11.0,0.0,16560.0
2.0,0.0,16899.3
11.0,0.0,17249.3
2.0,0.0,17600.0
11.0,0.0,17985.2
2.0,0.0,18335.0
11.0,0.0,18684.3
2.0,0.0,19075.2
11.0,0.0,19416.0
2.0,0.0,19770.5
11.0,0.0,20127.9
2.0,0.0,20509.2
11.0,0.0,20860.3
2.0,0.0,21211.6
11.0,0.0,21567.3
2.0,0.0,21928.5
11.0,0.0,22280.1
2.0,0.0,22632.2
11.0,0.0,23031.1
2.0,0.0,23382.9
11.0,0.0,23745.7
2.0,0.0,24087.5
11.0,0.0,24440.0
2.0,0.0,24830.8
11.0,0.0,25180.0
2.0,0.0,25537.2
11.0,0.0,25899.3
2.0,0.0,26239.0
11.0,0.0,26630.9
2.0,0.0,26983.1
11.0,0.0,27339.5
2.0,0.0,27691.1
11.0,0.0,28041.3
2.0,0.0,28391.9
11.0,0.0,28776.6
2.0,0.0,29144.0
11.0,0.0,29495.7
2.0,0.0,29848.1
11.0,0.0,30197.3
2.0,0.0,30548.8
11.0,0.0,30944.5
2.0,0.0,31287.7
11.0,0.0,31672.1
2.0,0.0,32023.9
11.0,0.0,32375.6
2.0,0.0,32725.4
11.0,0.0,33076.1
2.0,0.0,33472.3
11.0,0.0,33823.2
2.0,0.0,34169.1
11.0,0.0,34528.1
2.0,0.0,34887.1
11.0,0.0,35240.1
2.0,0.0,35630.6
11.0,0.0,35971.0
2.0,0.0,36327.0
11.0,0.0,36711.0
2.0,0.0,37064.1
11.0,0.0,37411.6
2.0,0.0,37767.6
11.0,0.0,38151.0
2.0,0.0,38503.3
11.0,0.0,38854.0
2.0,0.0,39200.0
11.0,0.0,39591.1
2.0,0.0,39943.3
11.0,0.0,40300.1
2.0,0.0,40652.1
11.0,0.0,41007.6
2.0,0.0,41357.9
11.0,0.0,41739.1
2.0,0.0,42080.1
11.0,0.0,42471.5
2.0,0.0,42811.3
11.0,0.0,43168.4
2.0,0.0,43551.4
11.0,0.0,43903.2
2.0,0.0,44253.1
11.0,0.0,44605.7
2.0,0.0,44967.9
11.0,0.0,45349.3
2.0,0.0,45700.2
11.0,0.0,46055.9
2.0,0.0,46415.2
11.0,0.0,46767.3
2.0,0.0,47117.5
11.0,0.0,47508.2
2.0,0.0,47860.1
11.0,0.0,48206.1
2.0,0.0,48556.3
