Xx,Xy,Xz,0,Yx,Yy,Yz,0,Zx,Zy,Zz,0,Px,Py,Pz,1,time
0.9380189296175131,0.027641483275696058,-0.3454800082226675,0.0,0.02955158474431612,-0.9995632221949257,0.0002620580030911215,0.0,-0.3453218665510692,-0.010455297108016426,-0.9384260734037969,0.0,485.364,-1.213,234.338,1.0,0.0
0.9380189298556775,0.027641483852739488,-0.34548000752985436,0.0,0.029551585150744013,-0.9995632221830525,0.0002620574589020414,0.0,-0.3453218658693477,-0.010455296717558165,-0.9384260736590069,0.0,485.3640007949491,-1.2130000314362293,234.33799947661817,1.0,0.04004004004004004
0.9380189315213971,0.027641487888575157,-0.3454800026843265,0.0,0.029551587993296408,-0.9995632221000118,0.0002620536528493392,0.0,-0.3453218611013946,-0.010455293986697195,-0.9384260754439429,0.0,485.3640063548149,-1.2130002513008855,234.33799581609105,1.0,0.08008008008008008
0.9380189360382902,0.02764149883245731,-0.3454799895448204,0.0,0.029551595701380124,-0.9995632218748318,0.000262043332064353,0.0,-0.34532184817224654,-0.010455286581484523,-0.9384260802841121,0.0,485.3640214313744,-1.213000847502789,234.33798588992437,1.0,0.12012012012012012
0.9380189448256803,0.02764152012323499,-0.34547996398256486,0.0,0.0295516106970737,-0.9995632214367549,0.0002620232534911948,0.0,-0.3453218230192324,-0.010455272175011448,-0.9384260897004197,0.0,485.3640507620704,-1.2130020073839154,234.3379665790612,1.0,0.16016016016016016
0.9380189592985947,0.027641555189351744,-0.3454799218812803,0.0,0.029551635395127843,-0.9995632207152366,0.00026199018388708143,0.0,-0.34532178159197385,-0.010455248447409093,-0.9384261052091678,0.0,485.3640990700116,-1.2130039177193968,234.33793477388195,1.0,0.2002002002002002
0.9380189808677646,0.02764160744884527,-0.34547985913717794,0.0,0.02955167220296585,-0.9995632196399452,0.00026194089982266576,0.0,-0.34532171985238463,-0.01045521308584794,-0.9384261283220542,0.0,485.36417106397255,-1.2130067647175207,234.33788737420454,1.0,0.24024024024024024
0.9380190109396231,0.027641680309346984,-0.3454797716589596,0.0,0.029551723520684175,-0.9995632181407607,0.0002618721876824997,0.0,-0.34532163377467107,-0.010455163784537183,-0.9384261605461721,0.0,485.3642714383936,-1.2130107340197307,234.33782128928414,1.0,0.2802802802802803
0.9380190509163046,0.027641777168081416,-0.3454796553678164,0.0,0.029551791741053265,-0.9995632161477748,0.00026178084366562996,0.0,-0.3453215193453319,-0.010455098244723893,-0.9384262033840085,0.0,485.3644048733808,-1.2130160107006265,234.3377334378134,1.0,0.3203203203203203
0.938019102195642,0.027641901411865483,-0.34547950619742723,0.0,0.02955187924951847,-0.9995632135912883,0.0002616636737863591,0.0,-0.34532137256315787,-0.010455014174691938,-0.9384262583334416,0.0,485.3645760347063,-1.213022779267963,234.33762074792233,1.0,0.3603603603603604
0.938019166171166,0.027642056417107836,-0.34547932009395826,0.0,0.02955198842420092,-0.9995632104018115,0.0002615174938748744,0.0,-0.34532118943923223,-0.010454909289761106,-0.9384263268877404,0.0,485.36478957380785,-1.2130312236626524,234.33748015717833,1.0,0.4004004004004004
0.9380192442321019,0.027642245549807994,-0.34547909301606106,0.0,0.02955212163589867,-0.9995632065100616,0.0002613391295781742,0.0,-0.34532096599693024,-0.010454781312285808,-0.9384264105355618,0.0,485.3650501277892,-1.2130415272587611,234.3373086125862,1.0,0.44044044044044045
0.938019337763368,0.027642472165555206,-0.3454788209348707,0.0,0.029552281248088196,-0.9995632018469618,0.0002611254163611936,0.0,-0.34532069827191914,-0.01045462797165349,-0.9384265107609481,0.0,485.36536231941966,-1.2130538728635123,234.33710307058814,1.0,0.4804804804804805
0.9380194481455727,0.027642739609527667,-0.3454784998340046,0.0,0.029552469616925404,-0.9995631963436397,0.00026087319950759784,0.0,-0.3453203823121582,-0.010454447004283513,-0.9384266290433251,0.0,485.3657307571347,-1.2130684427172853,234.33686049706367,1.0,0.5205205205205206
0.9380195767550112,0.027643051216491087,-0.34547812570955994,0.0,0.02955268909124754,-0.9995631899314246,0.00026057933412127214,0.0,-0.34532001417789865,-0.010454236153625077,-0.9384267668574989,0.0,485.36616003503553,-1.2130854184936148,234.33657786732977,1.0,0.5605605605605606
0.9380197249636637,0.02764341031079774,-0.3454776945701123,0.0,0.029552942012574433,-0.9995631825418467,0.00026024068512724814,0.0,-0.3453195899416833,-0.0104539931701559,-0.9384269256736532,0.0,485.366654732889,-1.2131049812991919,234.33625216614078,1.0,0.6006006006006006
0.9380198941391898,0.02764382020638479,-0.3454772024367125,0.0,0.029553230715110654,-0.9995631741066341,0.0002598541272734244,0.0,-0.34531910568834673,-0.010453715811379813,-0.9384271069573451,0.0,485.367219416128,-1.2131273116738626,234.33588038768843,1.0,0.6406406406406406
0.9380200856449278,0.02764428420677321,-0.34547664534288497,0.0,0.029553557525747034,-0.9995631645577103,0.00025941654513169217,0.0,-0.34531855751501495,-0.010453401841825177,-0.9384273121695034,0.0,485.36785863585123,-1.21315258959063,234.33545953560184,1.0,0.6806806806806808
0.9380203008398884,0.027644805605066068,-0.3454760193346248,0.0,0.029553924764062812,-0.9995631538271933,0.0002589248330996226,0.0,-0.3453179415311055,-0.010453049033042503,-0.9384275427664233,0.0,485.3685769288231,-1.2131809944556524,234.33498662294755,1.0,0.7207207207207208
0.9380205410787518,0.027645387683946844,-0.34547532047039503,0.0,0.029554334742327912,-0.9995631418473909,0.00025837589540222104,0.0,-0.345317253858327,-0.010452655163602003,-0.9384278001997634,0.0,485.3693788174739,-1.2132127051082444,234.3344586722294,1.0,0.7607607607607607
